Date,Close,%Change,,,,,
2014-06-30,1960.22998,-0.0372256963,,0.4897511307,-0.1178883694,0.1910868505,-0.0372256963
2014-07-01,1973.319946,0.6677770534,,-0.1178883694,0.1910868505,-0.0372256963,0.6677770534
2014-07-02,1974.619995,0.0658813084,,0.1910868505,-0.0372256963,0.6677770534,0.0658813084
2014-07-03,1985.439941,0.547950797,,-0.0372256963,0.6677770534,0.0658813084,0.547950797
2014-07-07,1977.650024,-0.3923521855,,0.6677770534,0.0658813084,0.547950797,-0.3923521855
2014-07-08,1963.709961,-0.7048801775,,0.0658813084,0.547950797,-0.3923521855,-0.7048801775
2014-07-09,1972.829956,0.464426783,,0.547950797,-0.3923521855,-0.7048801775,0.464426783
2014-07-10,1964.680054,-0.41310717,,-0.3923521855,-0.7048801775,0.464426783,-0.41310717
2014-07-11,1967.569946,0.1470922451,,-0.7048801775,0.464426783,-0.41310717,0.1470922451
2014-07-14,1977.099976,0.4843553348,,0.464426783,-0.41310717,0.1470922451,0.4843553348
2014-07-15,1973.280029,-0.1932096023,,-0.41310717,0.1470922451,0.4843553348,-0.1932096023
2014-07-16,1981.569946,0.4201084934,,0.1470922451,0.4843553348,-0.1932096023,0.4201084934
2014-07-17,1958.119995,-1.1834026373,,0.4843553348,-0.1932096023,0.4201084934,-1.1834026373
2014-07-18,1978.219971,1.0264935781,,-0.1932096023,0.4201084934,-1.1834026373,1.0264935781
2014-07-21,1973.630005,-0.2320250562,,0.4201084934,-1.1834026373,1.0264935781,-0.2320250562
2014-07-22,1983.530029,0.5016149924,,-1.1834026373,1.0264935781,-0.2320250562,0.5016149924
2014-07-23,1987.01001,0.1754438274,,1.0264935781,-0.2320250562,0.5016149924,0.1754438274
2014-07-24,1987.97998,0.0488155568,,-0.2320250562,0.5016149924,0.1754438274,0.0488155568
2014-07-25,1978.339966,-0.4849150443,,0.5016149924,0.1754438274,0.0488155568,-0.4849150443
2014-07-28,1978.910034,0.0288154721,,0.1754438274,0.0488155568,-0.4849150443,0.0288154721
2014-07-29,1969.949951,-0.4527786936,,0.0488155568,-0.4849150443,0.0288154721,-0.4527786936
2014-07-30,1970.069946,0.0060912715,,-0.4849150443,0.0288154721,-0.4527786936,0.0060912715
2014-07-31,1930.670044,-1.9999240169,,0.0288154721,-0.4527786936,0.0060912715,-1.9999240169
2014-08-01,1925.150024,-0.285912138,,-0.4527786936,0.0060912715,-1.9999240169,-0.285912138
2014-08-04,1938.98999,0.7189032453,,0.0060912715,-1.9999240169,-0.285912138,0.7189032453
2014-08-05,1920.209961,-0.9685469805,,-1.9999240169,-0.285912138,0.7189032453,-0.9685469805
2014-08-06,1920.23999,0.0015638394,,-0.285912138,0.7189032453,-0.9685469805,0.0015638394
2014-08-07,1909.569946,-0.5556620035,,0.7189032453,-0.9685469805,0.0015638394,-0.5556620035
2014-08-08,1931.589966,1.1531402684,,-0.9685469805,0.0015638394,-0.5556620035,1.1531402684
2014-08-11,1936.920044,0.2759425185,,0.0015638394,-0.5556620035,1.1531402684,0.2759425185
2014-08-12,1933.75,-0.1636641641,,-0.5556620035,1.1531402684,0.2759425185,-0.1636641641
2014-08-13,1946.719971,0.6707160181,,1.1531402684,0.2759425185,-0.1636641641,0.6707160181
2014-08-14,1955.180054,0.4345814049,,0.2759425185,-0.1636641641,0.6707160181,0.4345814049
2014-08-15,1955.060059,-0.0061372864,,-0.1636641641,0.6707160181,0.4345814049,-0.0061372864
2014-08-18,1971.73999,0.8531671916,,0.6707160181,0.4345814049,-0.0061372864,0.8531671916
2014-08-19,1981.599976,0.5000652241,,0.4345814049,-0.0061372864,0.8531671916,0.5000652241
2014-08-20,1986.51001,0.2477812908,,-0.0061372864,0.8531671916,0.5000652241,0.2477812908
2014-08-21,1992.369995,0.294988949,,0.8531671916,0.5000652241,0.2477812908,0.294988949
2014-08-22,1988.400024,-0.1992587225,,0.5000652241,0.2477812908,0.294988949,-0.1992587225
2014-08-25,1997.920044,0.4787779061,,0.2477812908,0.294988949,-0.1992587225,0.4787779061
2014-08-26,2000.02002,0.1051081101,,0.294988949,-0.1992587225,0.4787779061,0.1051081101
2014-08-27,2000.119995,0.0049987,,-0.1992587225,0.4787779061,0.1051081101,0.0049987
2014-08-28,1996.73999,-0.168990111,,0.4787779061,0.1051081101,0.0049987,-0.168990111
2014-08-29,2003.369995,0.3320414793,,0.1051081101,0.0049987,-0.168990111,0.3320414793
2014-09-02,2002.280029,-0.054406625,,0.0049987,-0.168990111,0.3320414793,-0.054406625
2014-09-03,2000.719971,-0.0779140768,,-0.168990111,0.3320414793,-0.054406625,-0.0779140768
2014-09-04,1997.650024,-0.1534421131,,0.3320414793,-0.054406625,-0.0779140768,-0.1534421131
2014-09-05,2007.709961,0.5035885605,,-0.054406625,-0.0779140768,-0.1534421131,0.5035885605
2014-09-08,2001.540039,-0.3073114205,,-0.0779140768,-0.1534421131,0.5035885605,-0.3073114205
2014-09-09,1988.439941,-0.6545009215,,-0.1534421131,0.5035885605,-0.3073114205,-0.6545009215
2014-09-10,1995.689941,0.3646074418,,0.5035885605,-0.3073114205,-0.6545009215,0.3646074418
2014-09-11,1997.449951,0.0881905532,,-0.3073114205,-0.6545009215,0.3646074418,0.0881905532
2014-09-12,1985.540039,-0.5962558408,,-0.6545009215,0.3646074418,0.0881905532,-0.5962558408
2014-09-15,1984.130005,-0.0710151381,,0.3646074418,0.0881905532,-0.5962558408,-0.0710151381
2014-09-16,1998.97998,0.7484376005,,0.0881905532,-0.5962558408,-0.0710151381,0.7484376005
2014-09-17,2001.569946,0.1295643791,,-0.5962558408,-0.0710151381,0.7484376005,0.1295643791
2014-09-18,2011.359985,0.4891180056,,-0.0710151381,0.7484376005,0.1295643791,0.4891180056
2014-09-19,2010.400024,-0.0477269612,,0.7484376005,0.1295643791,0.4891180056,-0.0477269612
2014-09-22,1994.290039,-0.8013323124,,0.1295643791,0.4891180056,-0.0477269612,-0.8013323124
2014-09-23,1982.77002,-0.5776501299,,0.4891180056,-0.0477269612,-0.8013323124,-0.5776501299
2014-09-24,1998.300049,0.7832491335,,-0.0477269612,-0.8013323124,-0.5776501299,0.7832491335
2014-09-25,1965.98999,-1.6168772561,,-0.8013323124,-0.5776501299,0.7832491335,-1.6168772561
2014-09-26,1982.849976,0.8575824946,,-0.5776501299,0.7832491335,-1.6168772561,0.8575824946
2014-09-29,1977.800049,-0.2546802361,,0.7832491335,-1.6168772561,0.8575824946,-0.2546802361
2014-09-30,1972.290039,-0.2785928741,,-1.6168772561,0.8575824946,-0.2546802361,-0.2785928741
2014-10-01,1946.160034,-1.3248561055,,0.8575824946,-0.2546802361,-0.2785928741,-1.3248561055
2014-10-02,1946.170044,0.0005143462,,-0.2546802361,-0.2785928741,-1.3248561055,0.0005143462
2014-10-03,1967.900024,1.1165509441,,-0.2785928741,-1.3248561055,0.0005143462,1.1165509441
2014-10-06,1964.819946,-0.1565159796,,-1.3248561055,0.0005143462,1.1165509441,-0.1565159796
2014-10-07,1935.099976,-1.5126052675,,0.0005143462,1.1165509441,-0.1565159796,-1.5126052675
2014-10-08,1968.890015,1.746165026,,1.1165509441,-0.1565159796,-1.5126052675,1.746165026
2014-10-09,1928.209961,-2.0661415158,,-0.1565159796,-1.5126052675,1.746165026,-2.0661415158
2014-10-10,1906.130005,-1.145101231,,-1.5126052675,1.746165026,-2.0661415158,-1.145101231
2014-10-13,1874.73999,-1.6467929741,,1.746165026,-2.0661415158,-1.145101231,-1.6467929741
2014-10-14,1877.699951,0.1578864811,,-2.0661415158,-1.145101231,-1.6467929741,0.1578864811
2014-10-15,1862.48999,-0.8100314958,,-1.145101231,-1.6467929741,0.1578864811,-0.8100314958
2014-10-16,1862.76001,0.014497796,,-1.6467929741,0.1578864811,-0.8100314958,0.014497796
2014-10-17,1886.76001,1.2884107384,,0.1578864811,-0.8100314958,0.014497796,1.2884107384
2014-10-20,1904.01001,0.9142657205,,-0.8100314958,0.014497796,1.2884107384,0.9142657205
2014-10-21,1941.280029,1.9574486901,,0.014497796,1.2884107384,0.9142657205,1.9574486901
2014-10-22,1927.109985,-0.729933023,,1.2884107384,0.9142657205,1.9574486901,-0.729933023
2014-10-23,1950.819946,1.2303377173,,0.9142657205,1.9574486901,-0.729933023,1.2303377173
2014-10-24,1964.579956,0.7053449514,,1.9574486901,-0.729933023,1.2303377173,0.7053449514
2014-10-27,1961.630005,-0.1501568308,,-0.729933023,1.2303377173,0.7053449514,-0.1501568308
2014-10-28,1985.050049,1.1939073087,,1.2303377173,0.7053449514,-0.1501568308,1.1939073087
2014-10-29,1982.300049,-0.1385355498,,0.7053449514,-0.1501568308,1.1939073087,-0.1385355498
2014-10-30,1994.650024,0.6230123944,,-0.1501568308,1.1939073087,-0.1385355498,0.6230123944
2014-10-31,2018.050049,1.1731393838,,1.1939073087,-0.1385355498,0.6230123944,1.1731393838
2014-11-03,2017.810059,-0.0118921728,,-0.1385355498,0.6230123944,1.1731393838,-0.0118921728
2014-11-04,2012.099976,-0.2829841676,,0.6230123944,1.1731393838,-0.0118921728,-0.2829841676
2014-11-05,2023.569946,0.5700497061,,1.1731393838,-0.0118921728,-0.2829841676,0.5700497061
2014-11-06,2031.209961,0.3775513179,,-0.0118921728,-0.2829841676,0.5700497061,0.3775513179
2014-11-07,2031.920044,0.0349586214,,-0.2829841676,0.5700497061,0.3775513179,0.0349586214
2014-11-10,2038.26001,0.3120184782,,0.5700497061,0.3775513179,0.0349586214,0.3120184782
2014-11-11,2039.680054,0.0696694236,,0.3775513179,0.0349586214,0.3120184782,0.0696694236
2014-11-12,2038.25,-0.0701116823,,0.0349586214,0.3120184782,0.0696694236,-0.0701116823
2014-11-13,2039.329956,0.052984472,,0.3120184782,0.0696694236,-0.0701116823,0.052984472
2014-11-14,2039.819946,0.0240270094,,0.0696694236,-0.0701116823,0.052984472,0.0240270094
2014-11-17,2041.319946,0.0735359022,,-0.0701116823,0.052984472,0.0240270094,0.0735359022
2014-11-18,2051.800049,0.5133983539,,0.052984472,0.0240270094,0.0735359022,0.5133983539
2014-11-19,2048.719971,-0.1501158947,,0.0240270094,0.0735359022,0.5133983539,-0.1501158947
2014-11-20,2052.75,0.1967096068,,0.0735359022,0.5133983539,-0.1501158947,0.1967096068
2014-11-21,2063.5,0.523687736,,0.5133983539,-0.1501158947,0.1967096068,0.523687736
2014-11-24,2069.409912,0.2864023261,,-0.1501158947,0.1967096068,0.523687736,0.2864023261
2014-11-25,2067.030029,-0.1150029768,,0.1967096068,0.523687736,0.2864023261,-0.1150029768
2014-11-26,2072.830078,0.2805981973,,0.523687736,0.2864023261,-0.1150029768,0.2805981973
2014-11-28,2067.560059,-0.2542426924,,0.2864023261,-0.1150029768,0.2805981973,-0.2542426924
2014-12-01,2053.439941,-0.6829362919,,-0.1150029768,0.2805981973,-0.2542426924,-0.6829362919
2014-12-02,2066.550049,0.638446138,,0.2805981973,-0.2542426924,-0.6829362919,0.638446138
2014-12-03,2074.330078,0.3764742598,,-0.2542426924,-0.6829362919,0.638446138,0.3764742598
2014-12-04,2071.919922,-0.1161896087,,-0.6829362919,0.638446138,0.3764742598,-0.1161896087
2014-12-05,2075.370117,0.1665216384,,0.638446138,0.3764742598,-0.1161896087,0.1665216384
2014-12-08,2060.310059,-0.7256564926,,0.3764742598,-0.1161896087,0.1665216384,-0.7256564926
2014-12-09,2059.820068,-0.0237823913,,-0.1161896087,0.1665216384,-0.7256564926,-0.0237823913
2014-12-10,2026.140015,-1.6350968477,,0.1665216384,-0.7256564926,-0.0237823913,-1.6350968477
2014-12-11,2035.329956,0.4535689011,,-0.7256564926,-0.0237823913,-1.6350968477,0.4535689011
2014-12-12,2002.329956,-1.6213587336,,-0.0237823913,-1.6350968477,0.4535689011,-1.6213587336
2014-12-15,1989.630005,-0.6342586526,,-1.6350968477,0.4535689011,-1.6213587336,-0.6342586526
2014-12-16,1972.73999,-0.8489023063,,0.4535689011,-1.6213587336,-0.6342586526,-0.8489023063
2014-12-17,2012.890015,2.0352416032,,-1.6213587336,-0.6342586526,-0.8489023063,2.0352416032
2014-12-18,2061.22998,2.4015204328,,-0.6342586526,-0.8489023063,2.0352416032,2.4015204328
2014-12-19,2070.649902,0.4570048996,,-0.8489023063,2.0352416032,2.4015204328,0.4570048996
2014-12-22,2078.540039,0.3810464044,,2.0352416032,2.4015204328,0.4570048996,0.3810464044
2014-12-23,2082.169922,0.1746361837,,2.4015204328,0.4570048996,0.3810464044,0.1746361837
2014-12-24,2081.879883,-0.0139296508,,0.4570048996,0.3810464044,0.1746361837,-0.0139296508
2014-12-26,2088.77002,0.3309574705,,0.3810464044,0.1746361837,-0.0139296508,0.3309574705
2014-12-29,2090.570068,0.0861774146,,0.1746361837,-0.0139296508,0.3309574705,0.0861774146
2014-12-30,2080.350098,-0.4888604384,,-0.0139296508,0.3309574705,0.0861774146,-0.4888604384
2014-12-31,2058.899902,-1.0310858745,,0.3309574705,0.0861774146,-0.4888604384,-1.0310858745
